point_id,lat,long,idp_issueddate_iso,idp_validtime_iso,value,requested_on,url,category,centerx,centery,groupname,highps,idp_current_forecast,idp_fcst_hour,idp_filedate,idp_grb_elem,idp_grb_level,idp_ingestdate,idp_issueddate,idp_source,idp_subset,idp_time_series,idp_validendtime,idp_validtime,lowps,maxps,minps,name,objectid,productname,st_area_shape_,tag,zorder
Yosemite,37.7959,-119.6494,2023-11-10T22:00:00-08:00,2023-11-12T10:00:00-08:00,2,2023-11-11T20:38:10.685007800-08:00,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometryType=esriGeometryPoint&f=json&returnCatalogItems=true&returnPixelValues=true&geometry=%7B%27x%27%3A+-119.6494%2C+%27y%27%3A+37.7959%2C+%27spatialReference%27%3A+%7B%27wkid%27%3A+4326%7D%7D&processAsMultiDimensional=false&returnGeometry=false,1,-11255777.50995,5033296.74205,,6496.668896110001,2,36,1699699380000," PMTF=""Particulate matter (fine) [µg/m^3]""", 1-SIGL,1699700622000,1699682400000,,CONUS,20036,1699815599000,1699812000000,6496.668896110001,12993337.792219998,0.0,ds_apm25h01_bc_B36,179423,,0.0,Dataset,
Yosemite,37.7959,-119.6494,2023-11-10T22:00:00-08:00,2023-11-13T13:00:00-08:00,3,2023-11-11T20:38:10.685007800-08:00,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometryType=esriGeometryPoint&f=json&returnCatalogItems=true&returnPixelValues=true&geometry=%7B%27x%27%3A+-119.6494%2C+%27y%27%3A+37.7959%2C+%27spatialReference%27%3A+%7B%27wkid%27%3A+4326%7D%7D&processAsMultiDimensional=false&returnGeometry=false,1,-11255777.50995,5033296.74205,,6496.668896110001,2,63,1699699380000," PMTF=""Particulate matter (fine) [µg/m^3]""", 1-SIGL,1699700923000,1699682400000,,CONUS,20063,1699912799000,1699909200000,6496.668896110001,12993337.792219998,0.0,ds_apm25h01_bc_B63,179450,,0.0,Dataset,
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-11T06:00:00-08:00,3,2023-11-11T20:38:10.685007800-08:00,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometryType=esriGeometryPoint&f=json&returnCatalogItems=true&returnPixelValues=true&geometry=%7B%27x%27%3A+-119.6494%2C+%27y%27%3A+37.7959%2C+%27spatialReference%27%3A+%7B%27wkid%27%3A+4326%7D%7D&processAsMultiDimensional=false&returnGeometry=false,1,-11255777.50995,5033296.74205,,6496.668896110001,1,2,1699721040000," PMTF=""Particulate matter (fine) [µg/m^3]""", 1-SIGL,1699722091000,1699704000000,,CONUS,10002,1699714799000,1699711200000,6496.668896110001,12993337.792219998,0.0,ds_apm25h01_bc_B02,179462,,0.0,Dataset,
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-11T08:00:00-08:00,2,2023-11-11T20:38:10.685007800-08:00,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometryType=esriGeometryPoint&f=json&returnCatalogItems=true&returnPixelValues=true&geometry=%7B%27x%27%3A+-119.6494%2C+%27y%27%3A+37.7959%2C+%27spatialReference%27%3A+%7B%27wkid%27%3A+4326%7D%7D&processAsMultiDimensional=false&returnGeometry=false,1,-11255777.50995,5033296.74205,,6496.668896110001,1,4,1699721040000," PMTF=""Particulate matter (fine) [µg/m^3]""", 1-SIGL,1699722111000,1699704000000,,CONUS,10004,1699721999000,1699718400000,6496.668896110001,12993337.792219998,0.0,ds_apm25h01_bc_B04,179464,,0.0,Dataset,
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-11T09:00:00-08:00,2,2023-11-11T20:38:10.685007800-08:00,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometryType=esriGeometryPoint&f=json&returnCatalogItems=true&returnPixelValues=true&geometry=%7B%27x%27%3A+-119.6494%2C+%27y%27%3A+37.7959%2C+%27spatialReference%27%3A+%7B%27wkid%27%3A+4326%7D%7D&processAsMultiDimensional=false&returnGeometry=false,1,-11255777.50995,5033296.74205,,6496.668896110001,1,5,1699721040000," PMTF=""Particulate matter (fine) [µg/m^3]""", 1-SIGL,1699722121000,1699704000000,,CONUS,10005,1699725599000,1699722000000,6496.668896110001,12993337.792219998,0.0,ds_apm25h01_bc_B05,179465,,0.0,Dataset,
Yosemite,37.7959,-119.6494,2023-11-10T22:00:00-08:00,2023-11-11T02:00:00-08:00,5,2023-11-11T20:38:10.685007800-08:00,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometryType=esriGeometryPoint&f=json&returnCatalogItems=true&returnPixelValues=true&geometry=%7B%27x%27%3A+-119.6494%2C+%27y%27%3A+37.7959%2C+%27spatialReference%27%3A+%7B%27wkid%27%3A+4326%7D%7D&processAsMultiDimensional=false&returnGeometry=false,1,-11255777.50995,5033296.74205,,6496.668896110001,2,4,1699699380000," PMTF=""Particulate matter (fine) [µg/m^3]""", 1-SIGL,1699700308000,1699682400000,,CONUS,20004,1699700399000,1699696800000,6496.668896110001,12993337.792219998,0.0,ds_apm25h01_bc_B04,179391,,0.0,Dataset,
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-11T11:00:00-08:00,3,2023-11-11T20:38:10.685007800-08:00,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometryType=esriGeometryPoint&f=json&returnCatalogItems=true&returnPixelValues=true&geometry=%7B%27x%27%3A+-119.6494%2C+%27y%27%3A+37.7959%2C+%27spatialReference%27%3A+%7B%27wkid%27%3A+4326%7D%7D&processAsMultiDimensional=false&returnGeometry=false,1,-11255777.50995,5033296.74205,,6496.668896110001,1,7,1699721040000," PMTF=""Particulate matter (fine) [µg/m^3]""", 1-SIGL,1699722149000,1699704000000,,CONUS,10007,1699732799000,1699729200000,6496.668896110001,12993337.792219998,0.0,ds_apm25h01_bc_B07,179467,,0.0,Dataset,
Yosemite,37.7959,-119.6494,2023-11-10T22:00:00-08:00,2023-11-11T05:00:00-08:00,4,2023-11-11T20:38:10.685007800-08:00,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometryType=esriGeometryPoint&f=json&returnCatalogItems=true&returnPixelValues=true&geometry=%7B%27x%27%3A+-119.6494%2C+%27y%27%3A+37.7959%2C+%27spatialReference%27%3A+%7B%27wkid%27%3A+4326%7D%7D&processAsMultiDimensional=false&returnGeometry=false,1,-11255777.50995,5033296.74205,,6496.668896110001,2,7,1699699380000," PMTF=""Particulate matter (fine) [µg/m^3]""", 1-SIGL,1699700334000,1699682400000,,CONUS,20007,1699711199000,1699707600000,6496.668896110001,12993337.792219998,0.0,ds_apm25h01_bc_B07,179394,,0.0,Dataset,
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-11T13:00:00-08:00,4,2023-11-11T20:38:10.685007800-08:00,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometryType=esriGeometryPoint&f=json&returnCatalogItems=true&returnPixelValues=true&geometry=%7B%27x%27%3A+-119.6494%2C+%27y%27%3A+37.7959%2C+%27spatialReference%27%3A+%7B%27wkid%27%3A+4326%7D%7D&processAsMultiDimensional=false&returnGeometry=false,1,-11255777.50995,5033296.74205,,6496.668896110001,1,9,1699721040000," PMTF=""Particulate matter (fine) [µg/m^3]""", 1-SIGL,1699722173000,1699704000000,,CONUS,10009,1699739999000,1699736400000,6496.668896110001,12993337.792219998,0.0,ds_apm25h01_bc_B09,179469,,0.0,Dataset,
Yosemite,37.7959,-119.6494,2023-11-11T04:00:00-08:00,2023-11-11T14:00:00-08:00,3,2023-11-11T20:38:10.685007800-08:00,https://mapservices.weather.noaa.gov/raster/rest/services/air_quality/ndgd_apm25_hr01_bc/ImageServer/identify?geometryType=esriGeometryPoint&f=json&returnCatalogItems=true&returnPixelValues=true&geometry=%7B%27x%27%3A+-119.6494%2C+%27y%27%3A+37.7959%2C+%27spatialReference%27%3A+%7B%27wkid%27%3A+4326%7D%7D&processAsMultiDimensional=false&returnGeometry=false,1,-11255777.50995,5033296.74205,,6496.668896110001,1,10,1699721040000," PMTF=""Particulate matter (fine) [µg/m^3]""", 1-SIGL,1699722182000,1699704000000,,CONUS,10010,1699743599000,1699740000000,6496.668896110001,12993337.792219998,0.0,ds_apm25h01_bc_B10,179470,,0.0,Dataset,
